artist,track,Year,energy,liveness,tempo,speechiness,acousticness,instrumentalness,valence,danceability,mean_energy,mean_liveness,mean_tempo,mean_speechiness,mean_acousticness,mean_instrumentalness,mean_valence,mean_danceability,raw_tempo,spotify_id
Gene Chandler,Duke Of Earl,1962,0.476757,0.203225,0.356087837838,0.031788,0.533278,0.0,0.392764,0.477611,0.494058880989,0.231748578053,0.453228685409,0.0574183802164,0.674227678516,0.115990984544,0.680281714065,0.520303296754,104.701,6Hy22YDN9HJMRlJP1LwnJy
Bruce Channel,Hey! Baby,1962,0.470202,0.317013,0.539033783784,0.035309,0.818027,0.0,0.743633,0.653113,0.494644952454,0.229581144172,0.449533089454,0.0588015674847,0.677242924847,0.116195305215,0.683781797546,0.523360492331,131.777,2LQwBpQgSwFdw2fDEtNdk4
Connie Francis,Don't Break the Heart That Loves You,1962,0.541562,0.10979,0.444918918919,0.033493,0.61463,0.0,0.201611,0.33541,0.496822517665,0.230699511521,0.453663241583,0.0604836620584,0.674593895545,0.117924445469,0.685459147465,0.523311635945,117.848,5rBeUeRQh1Ou7m3giAX5p5
Shelley Fabares,Johnny Angel,1962,0.291072,0.172953,0.339182432432,0.036541,0.955975,0.000769,0.756485,0.311808,0.498743118902,0.234180757622,0.454797183998,0.0602677362805,0.673514347561,0.11385871189,0.683365964939,0.521595254573,102.199,5j4CGIpT35ipZrF93ejrhl
Elvis Presley,Good Luck Charm,1962,0.689184,0.141619,0.47422972973,0.031816,0.380131,0.0,0.813703,0.61088,0.500642806801,0.234437857805,0.458341451188,0.0601388531685,0.672927809892,0.11491453323,0.686058134467,0.522278293663,122.186,19gotedXtqeE8dWju6WURW
Mr. Acker Bilk,Stranger On the Shore,1962,0.170062,0.104814,0.260290540541,0.037308,0.971849,0.923518,0.246184,0.535831,0.500642806801,0.234437857805,0.458341451188,0.0601388531685,0.672927809892,0.11491453323,0.686058134467,0.522278293663,90.523,4CsDlMtoESHZCMcjuoZInd
Shirelles,Soldier Boy,1962,0.339056,0.296257,0.307087837838,0.025129,0.777204,0.000321,0.612205,0.551948,0.500236168453,0.232452203675,0.458800184181,0.0603895467075,0.673967150077,0.112779750383,0.682255751914,0.520022800919,97.449,6g4Oyy8IwraOjPl7nqnROq
Ray Charles,I Can't Stop Loving You,1962,0.261208,0.331794,0.182297297297,0.039165,0.909102,1.4e-05,0.36208,0.37308,0.497405312693,0.232862678019,0.450775981089,0.0622528452012,0.670964026316,0.112425233746,0.67918905418,0.525746226006,78.98,I Can’t Stop Loving You
David Rose & His Orchestra,The Stripper,1962,0.616969,0.125799,0.296959459459,0.041874,0.863543,0.576425,0.343457,0.395234,0.496872797214,0.231849585139,0.449987574262,0.0625479814241,0.671841764706,0.112656366873,0.678916552632,0.525979600619,95.95,00vH2PsEQTGRyJYhyIyDbr
Bobby Vinton,Roses Are Red (My Love),1962,0.27582,0.332945,0.335141891892,0.029488,0.833815,0.0,0.545762,0.445073,0.494817077399,0.238489832817,0.448727135805,0.0648926671827,0.665549817337,0.11445051548,0.675769348297,0.523197959752,101.601,0qYok0f8O5DE8yJSo146dn
Little Eva,The Loco-Motion,1962,0.63682,0.143716,0.512317567568,0.054033,0.17588,0.000322,0.682721,0.516525,0.494787351562,0.2405264125,0.449226636402,0.0652354671875,0.665927514062,0.10850751875,0.677994351562,0.524195695312,127.823,1hClDWPgajpLIFjLOkFuau
Neil Sedaka,Breaking Up Is Hard To Do,1962,0.071767,0.105927,0.413709459459,0.030902,0.938287,0.0,0.211873,0.382769,0.494787351562,0.2405264125,0.449226636402,0.0652354671875,0.665927514062,0.10850751875,0.677994351562,0.524195695312,113.229,7pr4PuJDoPWSBXf5pzLbpZ
Tommy Roe,Sheila,1962,0.443476,0.115921,0.586108108108,0.043979,0.505363,0.040528,0.75062,0.350225,0.497393648819,0.235635595276,0.448084805278,0.0657220110236,0.665705305512,0.112590325984,0.681995722835,0.528746433071,138.744,3WyiczRg8tIWLfs7EO02Vb
Four Seasons,Sherry,1962,0.498216,0.166682,0.444635135135,0.04188,0.524451,0.0,0.85055,0.660776,0.492905681962,0.230139155063,0.453327082621,0.0649373781646,0.668356601266,0.117263949367,0.681851115506,0.530458439873,117.806,7sqK6f8dHVx3Q1GjFrVyGl
Bobby (Boris) Pickett,Monster Mash,1962,0.871869,0.650427,0.120074324324,0.370414,0.461675,3e-06,0.824823,0.586648,0.488980365777,0.231135408163,0.448675240782,0.064969967033,0.670314244898,0.116196384615,0.674535034537,0.528193861852,69.771,0xxZY5C9xxij3D1HkzbnfC
Crystals,He's A Rebel,1962,0.634151,0.470233,0.453425675676,0.089458,0.692884,1.4e-05,0.798268,0.751262,0.488980365777,0.231135408163,0.448675240782,0.064969967033,0.670314244898,0.116196384615,0.674535034537,0.528193861852,119.107,0mG8Hety4RELeo6p808fcy
Four Seasons,Big Girls Don't Cry,1962,0.730377,0.057314,0.527918918919,0.083596,0.309624,0.0,0.953725,0.780634,0.493401834936,0.23472118109,0.442201197592,0.0664412115385,0.667887689103,0.111320036859,0.674651921474,0.530376165064,130.132,3VPJVon5HEa2VGZC62RJfW
Tornadoes,Telstar,1962,0.654016,0.335836,0.62875,0.041101,0.008043,0.885758,0.698697,0.265001,0.494805753968,0.236828471429,0.439355673531,0.0662053904762,0.66606837619,0.109965633333,0.677046263492,0.531775833333,145.055,2rtaHm5SkgFzVa5Gr8oTW6
Steve Lawrence,Go Away Little Girl,1963,0.390836,0.212769,0.388804054054,0.031537,0.573989,0.0,0.649447,0.386841,0.498965618067,0.237726448494,0.440918619095,0.0664722060222,0.66057048336,0.113836381933,0.679005234548,0.532153250396,109.543,4sqO2Dg3taxtm06RUvGzHm
Paul & Paula,Hey Paula,1963,0.167739,0.095275,0.378608108108,0.039476,0.771527,3e-06,0.372092,0.497921,0.496144031596,0.240186434439,0.431286889971,0.0651666603476,0.659353424961,0.112084134281,0.676381966825,0.535992333333,108.034,50tTePJn69dlpGxVfWWHWM
Rooftop Singers,Walk Right In,1963,0.574548,0.209103,0.526695945946,0.034823,0.792751,0.000892,0.967971,0.698901,0.494721993827,0.239103964506,0.430656448115,0.0647085046296,0.659500361111,0.114328808642,0.675068665123,0.535454893519,129.951,74e8PnYlPhP7nl6aXsGzRW
Four Seasons,Walk Like A Man,1963,0.778684,0.275496,0.541222972973,0.032981,0.136894,0.009694,0.899393,0.705612,0.49967075814,0.237995325581,0.433590509114,0.063215551938,0.652390716279,0.113658362791,0.67719623876,0.5368482,132.101,1p9rtS9FiIFUP1BrkKheST
Ruby & the Romantics,Our Day Will Come,1963,0.464461,0.084251,0.275310810811,0.043986,0.331828,4e-06,0.774817,0.542305,0.491756088509,0.237055591615,0.429852505456,0.0612236785714,0.656296389752,0.11620627795,0.670261180124,0.532718013975,92.746,4DHGwvf2idUehVZbnHiA24
Chiffons,He's So Fine,1963,0.562667,0.17516,0.631810810811,0.047825,0.359391,2.9e-05,0.69684,0.328035,0.492303721617,0.238839860031,0.433310653188,0.0614014385692,0.653618335925,0.118330592535,0.672484073095,0.533811659409,145.508,5NS5XeR5hg1K6Lu0DV2WKC
Little Peggy March,I Will Follow Him,1963,0.409132,0.598678,0.495655405405,0.036652,0.731191,0.0,0.837976,0.574055,0.485359942278,0.235076149766,0.431675601889,0.0609175663027,0.653276184087,0.113906081123,0.669864424337,0.534294131045,125.357,3GQETOg4ZXyQ1jEFqfMoac
